"id","name","date","year","datetime","lat","lon","status","max_wind","min_pressure","landfall"
"AL011982","ALBERTO",1982-06-02,1982,1982-06-02 12:00:00,21.7,-87.1,"TD",20,1005,0
"AL011982","ALBERTO",1982-06-02,1982,1982-06-02 18:00:00,22.2,-86.5,"TD",25,1004,0
"AL011982","ALBERTO",1982-06-03,1982,1982-06-03,22.6,-85.8,"TD",30,1003,0
"AL011982","ALBERTO",1982-06-03,1982,1982-06-03 06:00:00,22.8,-85,"TS",40,1001,0
"AL011982","ALBERTO",1982-06-03,1982,1982-06-03 12:00:00,23.2,-84.2,"TS",50,995,0
"AL011982","ALBERTO",1982-06-03,1982,1982-06-03 18:00:00,24,-83.6,"HU",75,985,0
"AL011982","ALBERTO",1982-06-04,1982,1982-06-04,24.8,-83.4,"HU",65,992,0
"AL011982","ALBERTO",1982-06-04,1982,1982-06-04 06:00:00,24.9,-84.1,"TS",55,998,0
"AL011982","ALBERTO",1982-06-04,1982,1982-06-04 12:00:00,24.9,-84.8,"TS",45,1002,0
"AL011982","ALBERTO",1982-06-04,1982,1982-06-04 18:00:00,25,-84.2,"TS",40,1005,0
"AL011982","ALBERTO",1982-06-05,1982,1982-06-05,25.1,-84.1,"TD",30,1007,0
"AL011982","ALBERTO",1982-06-05,1982,1982-06-05 06:00:00,25.2,-84,"TD",25,1008,0
"AL011982","ALBERTO",1982-06-05,1982,1982-06-05 12:00:00,25.3,-83.9,"TD",25,1009,0
"AL011982","ALBERTO",1982-06-05,1982,1982-06-05 18:00:00,25.4,-83.6,"TD",25,1010,0
"AL011982","ALBERTO",1982-06-06,1982,1982-06-06,25.5,-83.3,"TD",25,1010,0
"AL011982","ALBERTO",1982-06-06,1982,1982-06-06 06:00:00,25.5,-83,"TD",25,1010,0
"AL011982","ALBERTO",1982-06-06,1982,1982-06-06 12:00:00,25.5,-82.6,"TD",20,1010,0
"AL021982","UNNAMED",1982-06-18,1982,1982-06-18,25.8,-86.4,"SD",25,1004,0
"AL021982","UNNAMED",1982-06-18,1982,1982-06-18 06:00:00,27.1,-84.6,"SD",30,1003,0
"AL021982","UNNAMED",1982-06-18,1982,1982-06-18 12:00:00,28.7,-82.8,"SS",40,999,0
"AL021982","UNNAMED",1982-06-18,1982,1982-06-18 18:00:00,31.4,-80.3,"SS",60,992,0
"AL021982","UNNAMED",1982-06-19,1982,1982-06-19,32.5,-79.2,"SS",60,992,0
"AL021982","UNNAMED",1982-06-19,1982,1982-06-19 06:00:00,33.9,-77.8,"SS",60,992,0
"AL021982","UNNAMED",1982-06-19,1982,1982-06-19 12:00:00,35.3,-76,"SS",60,992,0
"AL021982","UNNAMED",1982-06-19,1982,1982-06-19 18:00:00,37.1,-73,"SS",60,992,0
"AL021982","UNNAMED",1982-06-20,1982,1982-06-20,39.5,-70,"SS",60,992,0
"AL021982","UNNAMED",1982-06-20,1982,1982-06-20 06:00:00,42.5,-65.5,"SS",60,988,0
"AL021982","UNNAMED",1982-06-20,1982,1982-06-20 12:00:00,44.5,-60,"SS",60,984,0
"AL021982","UNNAMED",1982-06-20,1982,1982-06-20 18:00:00,45.4,-56,"EX",60,990,0
"AL031982","BERYL",1982-08-28,1982,1982-08-28 12:00:00,13.7,-22.2,"TD",30,1008,0
"AL031982","BERYL",1982-08-28,1982,1982-08-28 18:00:00,13.9,-22.7,"TS",35,1006,0
"AL031982","BERYL",1982-08-29,1982,1982-08-29,14.1,-23.6,"TS",35,1005,0
"AL031982","BERYL",1982-08-29,1982,1982-08-29 06:00:00,14.5,-24.9,"TS",40,1003,0
"AL031982","BERYL",1982-08-29,1982,1982-08-29 12:00:00,14.9,-26.3,"TS",45,1002,0
"AL031982","BERYL",1982-08-29,1982,1982-08-29 18:00:00,15.3,-27.7,"TS",45,1000,0
"AL031982","BERYL",1982-08-30,1982,1982-08-30,15.7,-29.1,"TS",50,999,0
"AL031982","BERYL",1982-08-30,1982,1982-08-30 06:00:00,16,-30.6,"TS",50,998,0
"AL031982","BERYL",1982-08-30,1982,1982-08-30 12:00:00,16.3,-32.1,"TS",50,996,0
"AL031982","BERYL",1982-08-30,1982,1982-08-30 18:00:00,16.7,-33.6,"TS",55,995,0
"AL031982","BERYL",1982-08-31,1982,1982-08-31,17,-35,"TS",55,993,0
"AL031982","BERYL",1982-08-31,1982,1982-08-31 06:00:00,17.2,-36.4,"TS",60,992,0
"AL031982","BERYL",1982-08-31,1982,1982-08-31 12:00:00,17.7,-37.8,"TS",60,991,0
